time,depth,mag,place
2025-10-07 21:38:38.3,10,5.3,"Ryukyu Islands, Japan"
2025-10-07 01:17:17.8,10,4.8,"Off East Coast of Honshu, Japan"
2025-10-07 00:30:25.0,53,5.1,"Near East Coast of Honshu, Japan"
2025-10-06 20:02:44.1,461,4.5,"Bonin Islands, Japan Region"
2025-10-06 18:25:05.4,10,4.7,"Off East Coast of Honshu, Japan"
2025-10-06 14:58:00.7,10,5.0,"Off East Coast of Honshu, Japan"
2025-10-06 14:20:25.7,10,4.9,"Off East Coast of Honshu, Japan"
2025-10-04 14:15:19.3,41,4.8,"Near East Coast of Honshu, Japan"
2025-10-03 03:48:03.3,103,4.7,"Near East Coast of Honshu, Japan"
2025-10-01 17:40:51.7,10,4.6,"Off East Coast of Honshu, Japan"
2025-10-01 14:50:06.4,60,4.8,"Near East Coast of Honshu, Japan"
2025-09-28 21:23:51.7,58,4.8,"Southwestern Ryukyu Islands, Japan"
2025-09-28 01:36:38.4,10,4.7,"Off East Coast of Honshu, Japan"
2025-09-27 13:37:19.0,10,4.8,"Off East Coast of Honshu, Japan"
2025-09-24 18:03:16.8,54,4.2,"Near East Coast of Honshu, Japan"
2025-09-23 17:08:13.9,133,4.8,"Ryukyu Islands, Japan"
2025-09-20 04:46:35.8,10,4.9,"Ryukyu Islands, Japan"
2025-09-17 13:00:34.7,52,4.6,"Ryukyu Islands, Japan"
2025-09-17 12:55:07.3,33,5.0,"Ryukyu Islands, Japan"
2025-09-15 04:34:46.4,50,4.8,"Near East Coast of Honshu, Japan"
2025-09-13 23:48:26.8,285,4.3,Eastern Sea of Japan
2025-09-13 00:17:55.8,10,4.9,"Southeast of Honshu, Japan"
